,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD
148,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,5,0.0,0.0,27990.191000000006
149,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,6,0.0,0.0,664.745
150,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,7,8.64,10.17,2435.411
151,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,8,7.47,14.3,74.582
152,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,9,5.2,0.12,201695.256
153,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,10,0.0,0.0,17.678
154,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,11,18.89,17.51,110.563
155,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,12,5.6,0.16,128465.803
156,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,13,2.36,5.91,1814.948
157,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,14,1.86,1.86,2.39
158,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,15,0.65,0.16,17818.165
159,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,1,8.0,8.0,8.76
160,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,4,29.4,29.4,0.399
161,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,5,8.0,8.0,9804.25
162,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,6,25.0,25.0,18.985
163,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,7,8.0,8.0,1.18
164,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,9,6.33,3.0,15376.352
165,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,10,263.88,249.77,1445.105
166,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,12,5.5,3.0,34155.239
167,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,13,71.79,86.52,496.198
168,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,15,12.44,8.36,13002.94
169,Morocco,MAR,1996,43161452.6784383,0,0,0,0,0,0,0,0,7665.229,7046.678000000001,7057.326,6939.522,2,128.0,128.0,348.899
170,Morocco,MAR,1996,43161452.6784383,0,0,0,0,0,0,0,0,7665.229,7046.678000000001,7057.326,6939.522,9,35.0,39.44,3167.737
171,Morocco,MAR,1996,43161452.6784383,0,0,0,0,0,0,0,0,7665.229,7046.678000000001,7057.326,6939.522,10,17.5,17.5,13306.218
172,Morocco,MAR,1996,43161452.6784383,0,0,0,0,0,0,0,0,7665.229,7046.678000000001,7057.326,6939.522,15,18.24,2.66,22023.061
173,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,1,11.67,14.9,28.949
