Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,504,Morocco,MAR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,178749,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,512,Oman,OMN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,8895297,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,104223312,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,530,Neth. Antilles,ANT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,4177855,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,600,Paraguay,PRY,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1065776,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,604,Peru,PER,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1011953,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,724626,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,620,Portugal,PRT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,8479184,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,634,Qatar,QAT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,17264560,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,642,Romania,ROU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,304741,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,39119932,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,235779152,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,686,Senegal,SEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,126337,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,28397608,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,703,Slovakia,SVK,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,219630,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,711,So. African Customs Union,ZAF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6841425,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,54502448,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,752,Sweden,SWE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,945093,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,16110377,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,37942744,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,807,North Macedonia,MKD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,857342,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,818,Egypt,EGY,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1638321,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,66325792,,,0
