,Unnamed: 0,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp
74,74,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,6,23.33,27.7,9.605,BRA
75,75,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,8,42.0,47.86,0.133,BRA
76,76,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,9,39.67,38.11,622.415,BRA
77,77,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,11,41.67,54.37,17.554000000000002,BRA
78,78,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,12,49.85,113.77,17424.685,BRA
79,79,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,13,15.98,16.06,85.42399999999998,BRA
80,80,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,14,17.0,17.0,16.352,BRA
81,81,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,15,121.6,121.6,564609.844,BRA
82,82,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,1,7.25,5.96,542.286,BRA
83,83,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,2,20.0,20.0,56.165,BRA
84,84,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,4,18.13,11.25,42.983000000000004,BRA
