Year,Country Code,Commodity Code,Trade Value (US$)
1996,WLD,15,888143872
1996,URY,14,23846
1996,USA,14,6229
1996,GBR,14,410942
1996,ESP,14,50074
1996,VCT,14,19500
1996,PRT,14,167089
1996,PRY,14,1160
1996,,14,472
1996,CAN,15,541803
1996,CPV,15,315920
1996,CHL,15,2484350
1996,ISR,15,21416
1996,IRN,15,94577272
1996,IDN,15,618202
1996,HKG,15,23969826
1996,HTI,15,3392860
1996,GUY,15,8656
1996,GTM,15,109080
1996,GRC,15,119869
1996,DEU,15,7881944
1996,FRA,15,11557895
1996,ECU,15,609650
1996,DOM,15,2658549
1996,DNK,15,164229
1996,CUB,15,1919933
1996,CRI,15,200332
1996,COL,15,1962548
1996,CHN,15,418090752
1996,CHN,9,575467
1996,VEN,15,4897275
1996,MYS,12,119500
1996,JOR,12,20460
1996,SYR,9,35519884
1996,CHE,9,13326835
1996,SWE,9,59037192
1996,ESP,9,55450116
1996,ZAF,9,2328533
1996,SVK,9,862634
1996,SGP,9,262721
1996,ARE,9,1333702
1996,SEN,9,675649
1996,RUS,9,879546
1996,ROU,9,8219409
1996,QAT,9,34207
1996,PRT,9,13648418
1996,POL,9,638038
1996,PER,9,1143110
1996,PRY,9,3009684
1996,SAU,9,1378658
1996,PAN,9,31750
1996,TUN,9,4306516
1996,EGY,9,2261228
1996,CIV,10,25216
1996,ECU,10,168695
1996,COL,10,55166
1996,CHL,10,11933946
1996,CMR,10,25158
1996,BOL,10,746277
1996,AUS,10,135955
1996,TUR,9,21418688
1996,ARG,10,7346814
1996,WLD,10,76665344
1996,,9,48659
1996,SCG,9,4009379
1996,VEN,9,394476
1996,URY,9,37646564
1996,USA,9,254833536
1996,GBR,9,14992046
1996,AGO,10,45679
1996,JPN,10,8909
1996,PAK,9,25789
1996,NZL,9,44820
1996,GTM,9,128725
1996,GRC,9,94432448
1996,DEU,9,226563152
1996,GMB,9,390399
1996,PYF,9,382333
1996,FRA,9,54221836
1996,FIN,9,27104088
1996,HND,9,51986
1996,ECU,9,4250
1996,DNK,9,36295532
1996,CZE,9,5759554
1996,CYP,9,4031654
1996,CUB,9,21433
1996,HRV,9,8461842
1996,CRI,9,81006
1996,COL,9,523881
1996,DOM,9,468123
1996,NOR,9,20710892
1996,HKG,9,790844
1996,ISL,9,197607
1996,NLD,9,43902044
1996,OMN,9,267585
1996,MAR,9,1687070
1996,,9,869496
1996,MEX,9,3302368
1996,MRT,9,57750
1996,LBY,9,2573964
1996,HUN,9,14366917
1996,LVA,9,39850
1996,KOR,9,12475017
1996,JOR,9,3167947
1996,JPN,9,177866704
1996,JAM,9,65494
1996,ITA,9,195410512
1996,ISR,9,3888888
1996,IRL,9,113748
1996,LBN,9,35952432
1996,LBN,10,12233537
1996,MYS,10,3995127
1996,MEX,10,151695
1996,CHL,12,65196
1996,CYM,12,11420100
1996,CAN,12,7405
1996,BLZ,12,12840
1996,BOL,12,1581877
1996,BMU,12,1039520
1996,BEL,12,6832067
1996,CHN,12,4299410
1996,BHS,12,527843
1996,ARG,12,852252
1996,AGO,12,1763
1996,WLD,12,1039730624
1996,,11,3471
1996,VEN,11,753199
1996,URY,11,818525
1996,USA,11,411849
1996,AUS,12,2145175
1996,CHE,11,6528
1996,COL,12,4338614
1996,CRI,12,334846
1996,JPN,12,87800240
1996,CIV,12,1274
1996,ITA,12,40699672
1996,IDN,12,2463250
1996,HKG,12,115781
1996,HND,12,66955
1996,GUY,12,959
1996,COD,12,22666
1996,GTM,12,261693
1996,FRA,12,23939072
1996,ECU,12,356030
1996,DOM,12,472841
1996,DNK,12,8914
1996,CZE,12,740
1996,CUB,12,939499
1996,HRV,12,3300983
1996,DEU,12,57939212
1996,SWE,11,1600
1996,SUR,11,99061
1996,ESP,11,15188
1996,WLD,11,13759041
1996,,10,775
1996,VEN,10,1679
1996,URY,10,1950703
1996,USA,10,473726
1996,TUR,10,4291
1996,TUN,10,2509000
1996,AGO,11,720532
1996,SYR,10,3000000
1996,ZAF,10,11905
1996,SEN,10,2054654
1996,PER,10,320102
1996,PRY,10,3082483
1996,NZL,10,37567
1996,NLD,10,10180376
1996,MAR,10,13092611
1996,CHE,10,3073298
1996,ARG,11,2366247
1996,BOL,11,728656
1996,CAN,11,13303
1996,ZAF,11,312640
1996,SAU,11,4350
1996,PRT,11,132081
1996,PER,11,14399
1996,PRY,11,6425731
1996,NLD,11,9167
1996,,11,7560
1996,MEX,11,222598
1996,JPN,11,206830
1996,ITA,11,93472
1996,GUY,11,84826
1996,DEU,11,679
1996,FRA,11,40649
1996,ECU,11,1803
1996,COL,11,97750
1996,CHL,11,134637
