,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp,ln_PIB,ln_Import,ln_distw,ln_Tariff
72,72,72,72,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,4,52.5,53.8,4.6,BRA,20.576790132753885,1.5260563034950492,9.754742734671906,3.9852734671677386
73,73,73,73,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,5,18.33,21.79,1923.519,BRA,20.576790132753885,7.5619115999704425,9.754742734671906,3.0814511489565284
74,74,74,74,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,6,23.33,27.7,9.605,BRA,20.576790132753885,2.2622837962205202,9.754742734671906,3.3214324131932926
75,75,75,75,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,8,42.0,47.86,0.133,BRA,20.576790132753885,-2.017406150760383,9.754742734671906,3.868280082480227
76,76,76,76,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,9,39.67,38.11,622.415,BRA,20.576790132753885,6.433607072830845,9.754742734671906,3.640476714885769
77,77,77,77,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,11,41.67,54.37,17.554000000000002,BRA,20.576790132753885,2.865281844169926,9.754742734671906,3.995812531157829
78,78,78,78,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,12,49.85,113.77,17424.685,BRA,20.576790132753885,9.765643157990432,9.754742734671906,4.734178866551625
79,79,79,79,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,13,15.98,16.06,85.42399999999998,BRA,20.576790132753885,4.44762709175783,9.754742734671906,2.7763317085186157
80,80,80,80,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,14,17.0,17.0,16.352,BRA,20.576790132753885,2.794350214021294,9.754742734671906,2.833213344056216
81,81,81,81,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,15,121.6,121.6,564609.844,BRA,20.576790132753885,13.243890230001995,9.754742734671906,4.800736969532067
82,82,82,82,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,1,7.25,5.96,542.286,BRA,18.39187078681775,6.295793537544756,8.367735416000595,1.7850704810772584
83,83,83,83,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,2,20.0,20.0,56.165,BRA,18.39187078681775,4.028293787093532,8.367735416000595,2.995732273553991
84,84,84,84,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,4,18.13,11.25,42.983000000000004,BRA,18.39187078681775,3.760804688685398,8.367735416000595,2.4203681286504293
85,85,85,85,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,5,6.67,5.0,191.16099999999997,BRA,18.39187078681775,5.253116004916195,8.367735416000595,1.6094379124341003
86,86,86,86,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,7,15.0,15.0,25.963,BRA,18.39187078681775,3.2566724475627673,8.367735416000595,2.70805020110221
87,87,87,87,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,8,15.0,15.0,77.29,BRA,18.39187078681775,4.34756458111878,8.367735416000595,2.70805020110221
88,88,88,88,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,9,14.5,10.37,607.43,BRA,18.39187078681775,6.4092369422381905,8.367735416000595,2.3389170222414357
89,89,89,89,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,10,12.5,15.0,38.095,BRA,18.39187078681775,3.640083039924973,8.367735416000595,2.70805020110221
90,90,90,90,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,11,20.0,20.0,244.361,BRA,18.39187078681775,5.498646640095995,8.367735416000595,2.995732273553991
91,91,91,91,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,12,8.13,5.03,4215.573,BRA,18.39187078681775,8.346540804257033,8.367735416000595,1.6154199841116479
92,92,92,92,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,13,7.5,5.05,216.32299999999998,BRA,18.39187078681775,5.37677266110163,8.367735416000595,1.6193882432872684
93,93,93,93,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,14,10.0,10.0,0.376,BRA,18.39187078681775,-0.9781661355922425,8.367735416000595,2.302585092994046
94,94,94,94,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,15,17.37,11.26,1668.092,BRA,18.39187078681775,7.419435737272963,8.367735416000595,2.421256622711544
95,95,95,95,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,6,19.0,19.0,0.259,BRA,16.268090850329138,-1.3509272172825992,8.588290407216778,2.9444389791664403
96,96,96,96,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,7,14.0,14.0,0.19,BRA,16.268090850329138,-1.6607312068216509,8.588290407216778,2.6390573296152584
97,97,97,97,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,9,9.0,9.0,53.476000000000006,BRA,16.268090850329138,3.9792329551208763,8.588290407216778,2.1972245773362196
98,98,98,98,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,11,14.0,14.0,0.053,BRA,16.268090850329138,-2.9374633654300153,8.588290407216778,2.6390573296152584
99,99,99,99,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,12,5.0,5.0,373.586,BRA,16.268090850329138,5.923148232419144,8.588290407216778,1.6094379124341003
100,100,100,100,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,13,4.33,4.01,78.887,BRA,16.268090850329138,4.368016448750516,8.588290407216778,1.3887912413184778
101,101,101,101,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,15,9.5,5.0,171.155,BRA,16.268090850329138,5.1425695786891135,8.588290407216778,1.6094379124341003
102,102,102,102,Cyprus,CYP,1996,10011918.4441656,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18,7,67.25,99.56,0.8640000000000001,BRA,16.119286785692154,-0.14618251017808132,9.225473289600375,4.600760477499391
103,103,103,103,Cyprus,CYP,1996,10011918.4441656,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18,8,44.0,44.0,186.887,BRA,16.119286785692154,5.23050415613014,9.225473289600375,3.784189633918261
104,104,104,104,Cyprus,CYP,1996,10011918.4441656,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18,9,45.08,4.08,5209.064,BRA,16.119286785692154,8.558155464097052,9.225473289600375,1.4060969884160703
105,105,105,105,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,1,0.0,0.0,1.439,BRA,18.019990698651803,0.3639484279052308,9.171787363858272,-inf
106,106,106,106,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,2,47.59,46.44,642.534,BRA,18.019990698651803,6.465419733657189,9.171787363858272,3.8381611568296905
107,107,107,107,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,3,0.0,0.0,16.213,BRA,18.019990698651803,2.7858133895679322,9.171787363858272,-inf
108,108,108,108,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,5,0.0,0.0,2.963,BRA,18.019990698651803,1.0862022685914283,9.171787363858272,-inf
109,109,109,109,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,7,5.86,8.55,5.136,BRA,18.019990698651803,1.6362745663876601,9.171787363858272,2.145931282948669
110,110,110,110,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,8,3.93,1.72,1652.3010000000006,BRA,18.019990698651803,7.409924140873732,9.171787363858272,0.5423242908253617
111,111,111,111,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,9,3.6,3.64,4243.552,BRA,18.019990698651803,8.353155933370235,9.171787363858272,1.2919836816486494
112,112,112,112,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,12,0.0,0.0,9.615,BRA,18.019990698651803,2.263324379040743,9.171787363858272,-inf
113,113,113,113,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,13,0.21,0.19,3.755,BRA,18.019990698651803,1.3230882852160981,9.171787363858272,-1.6607312068216509
114,114,114,114,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,1,9.0,9.0,1.177,BRA,17.043401353465633,0.16296882827813972,8.358371419002697,2.1972245773362196
115,115,115,115,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,3,12.5,12.5,8.142000000000001,BRA,17.043401353465633,2.097035850080787,8.358371419002697,2.5257286443082556
116,116,116,116,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,4,20.0,20.0,0.429,BRA,17.043401353465633,-0.8462983600541201,8.358371419002697,2.995732273553991
