,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp,ln_PIB,ln_Import,ln_distw,ln_Tariff,Animal health,Consumer information,Cost saving,Food safety,Harmonization,Labelling,Lower barriers to trade,National security requirements,Not specified,Other,Plant protection,Prevention of deceptive practices and consumer protection,Protect humans from animal/plant pest or disease,Protect territory from other damage from pests,Protection of Human health or Safety,Protection of animal or plant life or health,Protection of the environment,Quality requirements
23,Australia,AUS,1996,400302731.411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13371.76,14070.8,14046.75,13983.36,15,0.0,0.0,316.573,BRA,19.80773164735004,5.757553862698457,9.550146331278073,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,1,9.5,9.86,345.24800000000016,BRA,15.816580562985227,5.8442629993689295,7.778588287931509,2.288486168614544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,2,10.0,10.0,5.078,BRA,15.816580562985227,1.6249174832824866,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,3,10.0,10.0,1.345,BRA,15.816580562985227,0.2963940130538024,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,4,10.0,10.0,19.243,BRA,15.816580562985227,2.9571473582384216,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,5,10.0,10.0,4.7410000000000005,BRA,15.816580562985227,1.5562480839199817,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,6,10.0,10.0,254.833,BRA,15.816580562985227,5.54060842865568,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,9,10.0,10.0,14.163,BRA,15.816580562985227,2.6506329302322595,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,10,10.0,10.0,889.008,BRA,15.816580562985227,6.7901062343485545,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,11,10.0,10.0,318.711,BRA,15.816580562985227,5.764284736045727,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,12,10.0,10.0,39.87,BRA,15.816580562985227,3.685624161393264,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,13,10.0,10.0,20.632,BRA,15.816580562985227,3.0268432685790434,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,14,10.0,10.0,134.817,BRA,15.816580562985227,4.9039183032863045,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Bolivia,BOL,1996,7396966.657470541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.92,1876.6889999999999,2388.9,2266.878,15,10.0,10.0,100.209,BRA,15.816580562985227,4.607258004976439,7.778588287931509,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
