Country Code,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
KGZ,0,0,0,0,0,0,0,0,14281.39,13838.02,13729.6,13683.06
KHM,0,0,0,0,0,0,0,0,16743.93,17060.73,16588.65,16573.69
KIR,0,0,0,0,0,0,0,0,15088.22,15253.65,15283.95,15237.4
KNA,0,0,0,0,0,0,0,0,4867.5,4022.594,4716.696,4371.414
KOR,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18
KWT,0,0,0,0,0,0,0,0,11694.86,11428.84,11267.46,11221.93
LAO,0,0,0,0,0,0,0,0,16782.53,16890.29,16612.6,16593.35
LBN,0,0,0,0,0,0,0,0,10772.67,10398.77,10299.36,10241.75
LBR,0,0,0,0,0,0,0,0,5121.55,4776.021,4732.283,4600.366
LBY,0,0,0,0,0,0,0,0,8910.072,8438.022,8579.006,8490.876
LCA,0,0,0,0,0,0,0,0,4461.426,3614.805,4039.275,3844.092
LKA,0,0,0,0,0,0,0,0,14036.67,14264.9,13946.01,13925.86
LSO,0,0,0,0,0,0,0,0,7292.793,7772.399,7427.537,7391.052
LTU,0,0,0,0,0,0,0,0,11051.35,10408.43,10401.89,10325.33
LUX,0,0,0,0,0,0,0,0,9663.413,8998.837,9062.222,8973.285
LVA,0,0,0,0,0,0,0,0,11103.81,10437.17,10504.22,10427.53
MAC,0,1,1,0,0,0,0,0,17999.56,17956.81,.,.
MAR,0,0,0,0,0,0,0,0,7665.229,7046.678,7057.326,6939.522
MDA,0,0,0,0,0,0,0,0,10880.65,10325.63,10321.73,10251.17
MDG,0,0,0,0,0,0,0,0,9591.817,10003.64,9626.45,9595.475
MDV,0,0,0,0,0,0,0,0,13264.65,13500.26,13106.24,13084.92
MEX,0,0,0,0,0,0,0,0,7439.636,6841.765,7621.778,7513.794
MHL,0,0,0,0,0,0,0,0,15603.51,15668.82,15988.23,15963.84
MKD,0,0,0,0,0,0,0,0,10099.6,9570.675,9542.729,9468.273
MLI,0,0,0,0,0,0,0,0,5824.374,5417.112,5464.314,5334.611
MLT,0,0,0,0,0,0,0,0,9223.423,8725.308,8687.677,8607.855
MMR,0,0,0,0,0,0,0,0,16086.29,16199.53,15854.68,15834.24
MNG,0,0,0,0,0,0,0,0,16451.32,15777.75,15762.14,15705.8
MNP,0,0,0,0,0,0,0,0,18438.69,18567.57,18537.98,18523.46
MOZ,0,1,1,0,0,0,0,0,7878.605,8326.672,8340.84,8290.963
MRT,0,0,0,0,0,0,0,0,5711.193,5149.916,5257.122,5102.07
MSR,0,0,0,0,0,0,0,0,4787.648,3941.469,.,.
MTQ,0,0,0,0,0,0,0,0,4525.99,3678.557,4104.116,3912.743
MUS,0,0,0,0,0,0,0,0,10479.45,10953.11,10563.1,10537.43
MWI,0,0,0,0,0,0,0,0,8444.919,8732.777,8450.905,8419.815
MYS,0,0,0,0,0,0,0,0,15940.63,16420.49,16193.42,16164.04
NAM,0,0,0,0,0,0,0,0,6470.25,6825.919,6511.559,6467.039
NCL,0,0,0,0,0,0,0,0,13804.81,14380.56,14401.22,14356.45
NER,0,0,0,0,0,0,0,0,6716.604,6395.668,6593.578,6493.04
NFK,0,0,0,0,0,0,0,0,13107.7,13727.59,13673.52,13624.95
NGA,0,0,0,0,0,0,0,0,6382.416,6674.87,6321.692,6227.792
NIC,0,0,0,0,0,0,0,0,5862.436,5244.107,5695.206,5608.461
NIU,0,0,0,0,0,0,0,0,12267.53,12596.67,12702.96,12664.14
NLD,0,0,0,0,0,0,0,0,9810.82,9121.226,9200.433,9111.224
NOR,0,0,0,0,0,0,0,0,10641.01,9917.605,10018.32,9929.546
NPL,0,0,0,0,0,0,0,0,15218.57,15051.1,14768.87,14736.56
NRU,0,0,0,0,0,0,0,0,15526.05,15797.97,15901,15872.37
NZL,0,0,0,0,0,0,0,0,11389.0,12070.38,12407.41,12349.12
OMN,0,0,0,0,0,0,0,0,12510.15,12365.4,12013.38,11975.05
PAK,0,0,0,0,0,0,0,0,14121.48,13836.4,13405.7,13362.06
PAL,0,0,0,0,0,0,0,0,10575.41,10227.53,10143.03,10086.19
PAN,0,0,0,0,0,0,0,0,5084.887,4438.22,4948.142,4838.082
PCN,0,0,0,0,0,0,0,0,8314.337,8511.291,.,.
PER,1,0,0,0,0,0,0,0,3455.375,3171.635,3592.376,3478.597
PHL,0,0,0,0,0,0,0,0,18396.48,18832.29,18221.51,18212.56
PLW,0,0,0,0,0,0,0,0,18227.26,19058.27,18512.18,18501.11
PNG,0,0,0,0,0,0,0,0,16064.84,16768.98,16810.57,16767.39
POL,0,0,0,0,0,0,0,0,10668.76,10036.25,9958.274,9878.215
PRI,0,0,0,0,0,0,0,0,5129.085,4300.301,4723.152,4567.331
PRK,0,0,0,0,0,0,0,0,18168.74,17377.24,17471.25,17419.32
PRT,0,1,1,1,0,0,0,0,7955.642,7287.52,7395.559,7275.412
PRY,1,0,0,0,0,0,0,0,1134.649,1463.434,1633.136,1344.772
PYF,0,0,0,0,0,0,0,0,10498.53,10677.96,10871.34,10833.13
QAT,0,0,0,0,0,0,0,0,11880.21,11686.33,11486.21,11445.62
REU,0,0,0,0,0,0,0,0,10255.05,10727.29,10332.27,10306.01
ROM,0,0,0,0,0,0,0,0,10560.74,10024.41,10015.94,9941.843
RUS,0,0,0,0,0,0,0,0,11820.15,11192.67,11942.46,11770.14
RWA,0,0,0,0,0,0,0,0,8574.155,8670.851,8373.432,8336.079
SAU,0,0,0,0,0,0,0,0,11404.51,11201.76,10659.19,10595.6
SDN,0,0,0,0,0,0,0,0,9640.195,9499.727,9231.15,9171.049
SEN,0,0,0,0,0,0,0,0,5303.289,4762.113,4811.404,4647.241
SGP,0,0,0,0,0,0,0,0,16000.61,16540.27,16065.5,16048.86
