Year,Country Code,PIB
1997 ,CPV,490608657.924976
1997 ,KHM,3443413388.6909
1997 ,CMR,10833497457.5123
1997 ,CAN,652823920265.781
1997 ,CAF,937741468.029676
1997 ,TCD,1544689502.82472
1997 ,CHL,84952360922.4679
1997 ,CHN,961603952951.82
1997 ,COL,106659508271.255
1997 ,COM,364445589.702365
1997 ,COD,6090840548.18784
1997 ,COG,2322718991.26458
1997 ,CRI,12552071487.9622
1997 ,CIV,11722142706.1278
1997 ,HRV,23854803103.5938
1997 ,CUB,25365908100
1997 ,CYP,9547818700.11403
1997 ,CZE,61792161168.0011
1997 ,DNK,173537647058.824
1997 ,DJI,502675542.001227
1997 ,DMA,302989185.185185
1997 ,DOM,20017908829.3254
1997 ,ECU,28162053026.5133
1997 ,EGY,78436578171.0914
1997 ,SLV,10221705900
1997 ,GNQ,442337849.474377
1997 ,ERI,686490090.140141
1997 ,EST,5147711226.33003
1997 ,SWZ,1716699913.19444
1997 ,ETH,8589211390.49612
1997 ,FJI,2093994597.21549
1997 ,FIN,126912152101.707
1997 ,FRA,1452884917959.09
1997 ,PYF,3567062511.87293
1997 ,GAB,5326816858.99586
1997 ,GMB,803630742.53446
1997 ,GEO,3510520231.21387
1997 ,DEU,2211989623279.95
1997 ,GHA,6891308593.75
1997 ,GRC,143157600024.959
1997 ,GRL,1072147778.03013
1997 ,GRD,392190592.592593
1997 ,GTM,17790026221.6139
1997 ,GIN,3783788551.0819
1997 ,GNB,268550998.219197
1997 ,GUY,749138009.564539
1997 ,HTI,3338938830.01743
1997 ,HND,5737099650.19011
1997 ,HKG,177352785419.977
1997 ,HUN,47296952928.7561
1997 ,ISL,7580988916.04599
1997 ,IND,415867753863.874
1997 ,IDN,215748998609.635
1997 ,IRN,113919163421.119
1997 ,IRL,82826141595.0334
1997 ,IMN,1180919719.40764
1997 ,ISR,114692617005.856
1997 ,ITA,1241879604365.62
1997 ,JAM,8375077442.97381
1997 ,JPN,4414732843544.43
1997 ,JOR,7347574047.95487
1997 ,KAZ,22165932062.966
1997 ,KEN,13115773737.5664
1997 ,KIR,67537479.5903221
1997 ,KOR,557503074772.151
1997 ,KWT,30355093966.3699
1997 ,KGZ,1767864035.71943
1997 ,LAO,1747011857.33107
1997 ,LVA,6508472054.19792
1997 ,LBN,15751867489.4446
1997 ,LSO,997996028.645833
1997 ,LBY,30698633109.1343
1997 ,LIE,2298410390.68421
1997 ,LTU,10120274492.8787
1997 ,LUX,19731912494.3617
1997 ,MAC,7211264780.00828
1997 ,MDG,3545776697.12109
1997 ,MWI,2663234933.89767
1997 ,MYS,100005323301.867
1997 ,MDV,508223602.37893
1997 ,MLI,2697105694.07956
1997 ,MLT,3705372038.70537
1997 ,MHL,110705600
1997 ,MRT,1401946856.49938
1997 ,MUS,4187367601.73431
1997 ,MEX,500413483109.175
1997 ,FSM,206626303.647324
1997 ,MDA,1930081168.83117
1997 ,MCO,2840182220.99117
1997 ,MNG,1180934202.83801
1997 ,MAR,39147844526.0838
1997 ,MOZ,4976735801.65633
1997 ,NAM,4102648719.61806
1997 ,NPL,4918691916.53516
1997 ,NLD,416812740004.518
1997 ,NCL,3291489840.57141
1997 ,NZL,66075143415.4952
1997 ,NIC,4389965590.96538
1997 ,NER,1845599608.44272
1997 ,NGA,54457835193.4927
1997 ,MKD,3928975903.61446
1997 ,NOR,161356631888.484
1997 ,OMN,15837451235.3706
1997 ,PAK,62433300338.0941
1997 ,PAN,10677286100
1997 ,PNG,4936615298.79367
1997 ,PRY,9965225678.05093
1997 ,PER,58147522522.5225
1997 ,PHL,82344260570.6685
1997 ,POL,159117799530.388
1997 ,PRT,117016535162.95
1997 ,PRI,48187039000
1997 ,QAT,11297802115.3846
1997 ,ROU,35574916294.6429
1997 ,RUS,404928954191.876
1997 ,RWA,1851558301.7002
1997 ,WSM,285475591.89651
1997 ,SAU,165963557409.88
1997 ,SEN,5915250258.27977
1997 ,SRB,24147996549.5662
1997 ,SYC,562958836.519905
1997 ,SLE,850218033.622007
1997 ,SGP,100124191810.345
1997 ,SVK,27706028095.6157
1997 ,SVN,20763101590.6363
1997 ,SLB,567919502.811483
1997 ,ZAF,152587423868.182
1997 ,ESP,590077272727.273
1997 ,LKA,15091913883.7091
1997 ,KNA,374640306.97364
1997 ,LCA,721068259.259259
1997 ,VCT,347770000
1997 ,SDN,11681494637.3041
1997 ,SUR,926422500
1997 ,SWE,266383711639.969
1997 ,CHE,286518982980.776
1997 ,SYR,14505233968.8716
1997 ,TJK,921572114.529611
1997 ,TZA,7683852496.84499
1997 ,THA,150180268649.388
1997 ,TGO,1498950899.08774
1997 ,TON,212155124.65374
1997 ,TTO,5737751331.63779
1997 ,TUN,20746360430.4187
1997 ,TUR,189834649111.257
1997 ,TKM,2450349634.47436
1997 ,TUV,12700905.4475286
1997 ,UGA,6269333313.17108
1997 ,UKR,50150399791.647
1997 ,ARE,78839008444.5655
1997 ,GBR,1559078258022.27
1997 ,USA,8577554463000
1997 ,URY,23969823010.4429
1997 ,UZB,14744603773.5849
1997 ,VUT,255890221.800293
1997 ,VEN,85843534588.6206
1997 ,VNM,26843700441.5482
1997 ,PSE,3759800000
1997 ,YEM,6838557384.40357
1997 ,ZMB,4303281932.29365
1997 ,ZWE,8529571600
1997 ,ARB,613346331359.527
1997 ,CSS,28143635564.2146
1997 ,CEB,409093766950.347
1997 ,EAR,2905160119308.91
1997 ,EAS,7647108474792.33
1997 ,EAP,1563630253929.58
1997 ,TEA,1560406729539.56
1997 ,EMU,6952285677739.33
1997 ,ECS,10507003938909.9
1997 ,ECA,796161562024.191
1997 ,TEC,979013576872.931
